-,-,-
-774, -97, 628
-757, -136, 608
-767, -110, 617
-749, -107, 636
-757, -91, 632
-765, -86, 631
-768, -93, 622
-765, -89, 612
-739, -92, 621
-739, -92, 621
-733, -89, 625
-742, -101, 637
-748, -97, 634
-748, -94, 635
-741, -93, 648
-750, -93, 658
-750, -93, 658
-750, -82, 668
-751, -86, 669
-757, -93, 670
-766, -103, 668
-766, -113, 649
-759, -139, 626
-767, -183, 603
-762, -209, 606
-735, -196, 580
-735, -196, 580
-706, -195, 546
-701, -204, 529
-648, -156, 564
-613, -71, 675
-580, 39, 769
-585, 99, 813
-624, 143, 866
-624, 143, 866
-635, 159, 886
-636, 146, 903
-629, 239, 934
-515, 304, 963
-538, 358, 998
-547, 440, 1020
-535, 539, 1033
-535, 539, 1033
-493, 612, 1048
-473, 655, 1072
-483, 710, 1091
-513, 799, 1117
-524, 878, 1127
-508, 920, 1133
-442, 894, 1108
-366, 859, 1060
-343, 869, 1003
-370, 850, 936
-384, 742, 846
-384, 742, 846
-363, 570, 763
-377, 527, 711
-396, 549, 740
-400, 559, 755
-390, 508, 756
-378, 472, 739
-378, 472, 739
-394, 476, 751
-395, 437, 723
-376, 348, 647
-383, 292, 587
-381, 259, 525
-402, 205, 482
-402, 205, 482
-377, 112, 420
-386, 14, 332
-426, -54, 281
-428, -168, 225
-344, -224, 165
-216, -166, 92
-55, -94, -22
-55, -94, -22
-3, -100, -47
48, -175, -18
222, -283, -6
294, -415, -1
294, -415, -1
244, -669, 21
139, -1031, 148
47, -1331, 257
-245, -1729, 547
-558, -1977, 805
-791, -1998, 994
-822, -1995, 1064
-756, -1755, 1140
-704, -1177, 1234
-647, -647, 1355
-497, -53, 1553
-448, 485, 1732
-439, 780, 1749
-479, 877, 1606
-479, 877, 1606
-523, 890, 1402
-523, 899, 1211
-522, 867, 1055
-509, 758, 881
-531, 614, 775
-549, 483, 719
-562, 381, 672
-570, 301, 668
-570, 301, 668
-553, 259, 690
-529, 205, 720
-512, 184, 750
-507, 134, 765
-507, 70, 764
-536, 10, 799
-536, 10, 799
-553, -46, 821
-552, -66, 824
-526, -73, 814
-529, -84, 805
-529, -109, 802
-552, -140, 815
-565, -156, 815
-565, -156, 815
-581, -176, 806
-589, -216, 805
-611, -268, 827
-651, -240, 889
-670, -201, 916
-683, -191, 942
-683, -125, 966
-694, 0, 1008
-711, 134, 1115
-711, 134, 1207
-703, 230, 1207
-668, 282, 1257
-610, 345, 1333
-509, 428, 1378
-465, 520, 1481
-384, 671, 1503
-308, 731, 1462
-237, 718, 1358
-192, 717, 1290
-203, 737, 1277
-234, 746, 1267
-270, 723, 1207
-270, 723, 1207
-295, 637, 1164
-309, 610, 1127
-255, 591, 1072
-213, 601, 1003
-201, 541, 925
-137, 461, 850
-83, 438, 787
22, 378, 689
22, 378, 689
80, 288, 568
162, 234, 466
211, 150, 372
211, 150, 372
297, 104, 306
336, 4, 227
445, -204, 118
531, -302, 79
531, -302, 79
513, -263, 87
442, -385, 96
389, -647, 129
363, -799, 132
180, -1088, 252
-43, -1530, 389
-43, -1530, 389
-246, -1927, 445
-460, -1998, 529
-640, -1998, 462
-728, -1998, 602
-751, -1998, 692
-644, -1982, 776
-463, -1635, 872
-285, -1143, 971
-221, -603, 1188
-236, -238, 1367
-192, 102, 1432
-123, 462, 1539
-176, 725, 1583
-207, 907, 1565
-178, 945, 1470
-238, 887, 1375
-345, 759, 1242
-345, 759, 1242
-417, 575, 1070
-460, 403, 939
-482, 271, 863
-498, 167, 818
-503, 74, 792
-495, -2, 788
-506, -37, 798
-506, -37, 798
-483, -80, 791
-485, -129, 799
-468, -138, 817
-445, -131, 824
-433, -136, 830
-437, -167, 826
-478, -224, 848
-540, -279, 902
-586, -319, 919
-586, -319, 919
-635, -364, 927
-672, -373, 927
-666, -343, 939
-685, -277, 1031
-698, -189, 1108
-728, -97, 1197
-759, 16, 1328
-775, 126, 1495
-700, 313, 1629
-564, 488, 1710
-460, 638, 1706
-368, 689, 1608
-368, 689, 1608
-318, 639, 1455
-311, 573, 1302
-300, 492, 1137
-272, 425, 1012
-224, 403, 874
-137, 373, 754
-62, 340, 703
3, 318, 692
3, 318, 692
29, 292, 660
25, 259, 572
52, 148, 451
52, 148, 451
35, 53, 387
30, -37, 299
30, -37, 299
56, -147, 202
78, -214, 138
109, -247, 77
129, -277, 12
129, -277, 12
122, -377, 13
86, -586, 24
8, -841, 10
-157, -1080, 62
-157, -1080, 62
-258, -1377, 82
-351, -1668, 108
-485, -1878, 185
-569, -1988, 304
-630, -1998, 419
-611, -1987, 563
-550, -1807, 736
-469, -1472, 946
-379, -1034, 1093
-319, -689, 1201
-243, -363, 1357
-166, 6, 1479
-167, 345, 1559
-158, 439, 1604
-104, 540, 1663
-39, 757, 1737
-96, 843, 1656
-96, 843, 1656
-188, 718, 1455
-257, 537, 1232
-338, 408, 1057
-370, 307, 897
-375, 242, 784
-371, 177, 724
-384, 100, 720
-384, 100, 720
-400, 16, 751
-423, -63, 781
-431, -133, 807
-431, -175, 813
-428, -165, 831
-419, -186, 841
-434, -187, 854
-455, -225, 879
-455, -225, 879
-469, -280, 894
-497, -310, 917
-530, -293, 936
-541, -293, 956
-534, -271, 952
-520, -252, 951
-513, -187, 964
-519, -106, 998
-522, -51, 1050
-524, 2, 1109
-524, 2, 1109
-542, 56, 1140
-589, 77, 1165
-641, 102, 1187
-735, 146, 1230
-849, 151, 1254
-860, 169, 1258
-786, 230, 1218
-725, 303, 1162
-664, 323, 1102
-664, 323, 1102
-589, 383, 1017
-501, 431, 917
-466, 420, 876
-467, 438, 922
-455, 457, 929
-396, 380, 827
-381, 316, 772
-381, 316, 772
-346, 252, 688
-337, 231, 587
-229, 207, 532
-97, 236, 484
10, 240, 453
10, 240, 453
147, 260, 372
248, 191, 319
357, 85, 260
473, -110, 230
473, -110, 230
523, -335, 203
426, -566, 234
278, -771, 206
129, -1042, 132
-241, -1524, 146
-649, -1975, 219
-999, -1998, 266
-1179, -1998, 261
-1137, -1998, 189
-942, -1977, 272
-701, -1494, 481
-480, -860, 768
-437, -411, 991
-373, -274, 1176
-208, 159, 1413
